Código;Nombre del producto;Marca;Categoría;Descripción;Precio (USD);Stock;Unidades disponibles
B001;Azúcar 1kg;Ledesma;Alimentos;Azúcar refinada ideal para endulzar bebidas y recetas.;1.50;Stock disponible;35
B002;Leche entera larga vida 1L;La Serenísima;Lácteos;Leche líquida UHT, fuente de calcio y proteínas.;1.20;Stock disponible;181
B003;Arroz largo fino 1kg;Molinos Ala;Alimentos;Arroz de grano largo, perfecto para guarniciones y ensaladas.;2.00;Stock disponible;106
B004;Aceite de girasol 900ml;Natura;Alimentos;Aceite vegetal 100% girasol, alto rendimiento y sabor suave.;2.50;Stock disponible;279
B005;Yerba mate 1kg;Taragüi;Bebidas;Yerba mate seleccionada, sabor intenso, ideal para compartir.;3.80;Stock disponible;35
B006;Galletitas surtidas 300g;Arcor;Alimentos;Variedad de galletitas dulces para acompañar el té o el mate.;1.10;Stock limitado;6
B007;Harina 000 1kg;Blancaflor;Alimentos;Harina de trigo multipropósito para panificados y repostería.;1.00;Stock disponible;66
B008;Fideos secos tipo spaghetti 500g;Lucchetti;Alimentos;Pasta seca de sémola, cocción rápida y textura ideal.;1.30;Stock disponible;74
B009;Sal fina 500g;Refisal;Alimentos;Sal comestible para cocina diaria y condimentar a gusto.;0.70;Stock disponible;66
B010;Huevos docena;Avícola Cabaña;Alimentos;Docena de huevos frescos, categoría A, producción local.;2.50;Stock disponible;62
B011;Mermelada de durazno 454g;La Campagnola;Alimentos;Mermelada de fruta natural, ideal para desayunos y postres.;2.00;Stock disponible;39
B012;Queso cremoso 500g;Ilolay;Lácteos;Queso fresco, textura suave y sabor delicado, perfecto para untar.;3.90;Stock disponible;51
B013;Pan lactal 350g;Bimbo;Alimentos;Pan de molde suave, ideal para sándwiches y tostadas.;1.60;Stock disponible;47
B014;Manteca 200g;Sancor;Lácteos;Manteca tradicional, sabor auténtico, perfecta para cocinar o untar.;2.10;Stock disponible;46
B015;Dulce de leche 400g;La Serenísima;Lácteos;Dulce de leche clásico, textura cremosa y sabor intenso.;2.20;Stock disponible;134
B016;Café molido 250g;Bonafide;Bebidas;Café tostado molido, aroma intenso y sabor equilibrado.;2.80;Stock limitado;12
B017;Té en saquitos x25;La Virginia;Bebidas;Té negro clásico, práctico y rápido de preparar.;1.20;Stock disponible;79
B018;Polenta 500g;Mágica;Alimentos;Harina de maíz precocida, lista en minutos, ideal para acompañar guisos.;0.90;Stock disponible;79
B019;Lentejas secas 500g;Don Vittorio;Alimentos;Lentejas seleccionadas, ricas en proteínas y fibra.;1.50;Stock disponible;77
B020;Garbanzos secos 500g;Lucchetti;Alimentos;Legumbre versátil para ensaladas, guisos y hummus.;1.70;Stock disponible;19
B021;Papel higiénico hoja doble x4;Elite;Hogar;Papel higiénico doble hoja, pack económico y suave.;2.90;Stock disponible;55
B022;Jabón de tocador x3;Dove;Cuidado personal;Jabón en barra con crema hidratante, protege y suaviza la piel.;1.60;Stock disponible;78
B023;Shampoo hidratante 400ml;Sedal;Cuidado personal;Shampoo con vitamina E para cabello suave y brillante.;2.50;Stock disponible;78
B024;Detergente concentrado 500ml;Magistral;Limpieza;Detergente líquido concentrado, elimina grasa difícil.;1.10;Stock disponible;75
B025;Lavandina 1L;Ayudín;Limpieza;Lavandina líquida, desinfecta y elimina bacterias.;1.20;Stock disponible;23
B026;Desodorante ambiente lavanda 360cc;Glade;Hogar;Desodorante aromatizante para ambientes, fragancia a lavanda.;1.40;Stock disponible;26
B027;Toalla femenina x8;Always;Cuidado personal;Toallas femeninas con alas, máxima absorción y comodidad.;2.00;Stock disponible;51
B028;Algodón 100g;Swiss Just;Cuidado personal;Algodón suave, ideal para higiene y cuidado de la piel.;0.80;Stock disponible;30
B029;Paquete pañales x10;Pampers;Bebé;Pañales descartables talla M, máxima absorción y protección.;4.20;Stock limitado;21
B030;Levadura seca 50g;Fleischmann;Alimentos;Levadura seca activa para panificados y repostería.;0.70;Stock disponible;66
